mz_rt	6	10	14	18	20	26	34	35	43	49	61	69	73	74	76	77	84	93	96	99	101	105	111	113	119	132	151	154	160	blank1	blank2	blank3	blank4	QC00	QC0	QC1	QC2	QC3	QC4	QC5
407.24799_3.112	367461617.4	296484955.2	312779951.5	371987377.9	300303648.2	343416212.2	359552839.6	429283682.5	4120100.715	465492459.3	271871663.4	379528238.5	3517629.077	4386323.277	374963361.3	450486941	339286660	332339642.4	435987549.2	371012751	385805427.7	376586100.7	359136032.9	284577318.8	317991954.6	329580244.7	439801466	2722030.356	309294217.5	255200.0512	165799.2186	401625.6754	404237.6445	343377249.6	356190097.6	350517851.1	348251516.8	352733869.4	353268528.1	15904096.14
283.26419_2.959	244673105.8	244676440.5	175747328.5	226013332	209613975.6	223417522.9	278816339.8	257711974.3	209386597.1	327842322.3	183789073.8	268871046.5	96332586.49	172666696.6	266544720.9	276553244	212167727.4	206928992.6	252625731.1	254473456.2	204605139	235017051.4	209353840.3	154287093.2	167699655	198259048.1	264019017.4	47460060.56	190091693.3	34078625.32	35057033.12	45890579.99	45808014.16	206436850.8	213768666.1	210304893.4	214071365.4	214900757.5	221076268.2	45942841.13
363.18513_3.112	141905720.2	114302415.7	156118107.1	146182536.3	114784617.5	141084906.7	148740148	169221224.8	1191566.83	193472323.5	107929634.7	174236768.5	1033845.092	1284990.498	147390305.3	203911871	128596441.2	129860850.1	181470050.8	138476893.2	147562255.1	145562007.9	140164703.9	109996410.9	121780228.8	124262823	207361469.1	647723.6394	140033082.7	57030.20351	49518.84415	187037.3761	182204.1103	147353605.8	149440905.8	150384221.9	150492830.6	152623906.3	150495223.8	6763798.472
473.21892_1.274	155775997.2	129022356.3	132614171.3	153023014.3	146442961.6	136622086.7	153038692.8	156089695.6	1707241.956	165725663.7	123509213.5	151840137.2	2370314.848	2232955.777	144810772	166590275.9	158749688.1	137625641.3	154616359.4	143317858.7	153125774.5	151711751	147252052.7	134288383.2	142437007.2	151232822.6	149805869.5	1139100.631	151383722.7	124841.3908	122278.2971	176255.1879	217927.2894	135025303.6	134527335.3	134979108.2	135703290	139054736.5	138621629	6456354.061
255.23288_2.515	129777776.9	112820811.7	114002858.9	127880952.1	125514866.1	117962578.8	114138100.9	124012550	71456369.98	145304394.3	113746729.1	129046057.4	70886221.55	68471881.96	118383838.1	135216430.1	116373999.5	116041055.9	130108249.8	127973956.3	132460961	128301776	115433545.8	120500715.4	114143623.7	113017828.8	140189604.5	34210848.9	113295567.1	13712911.3	13821643.5	19241406.07	19527853.25	121058233.6	120839363.1	123673747.3	121836624.7	125080952.6	124446223.8	16255003.64
1030.74114_6.718	116287.3414	11862492	6615108.026	164193.718	1445123.909	2052713.999	50211823.37	24858125.18	101074834.6	138842523.3	17441480.33	58833985.19	31686167.28	95277771.49	46090231.43	14231118.1	43322716.35	2330216.646	811200.5638	464031.4939	38385291.05	26515716.58	8670150.958	5427337.736	6730921.943	1278789.82	1166303.172	10922474.38	2316601.143	58219.46681	56377.13857	55605.02321	63124.52822	32415285.08	33295193.45	33411802.9	33514087.67	33470824.75	33990401.12	1662211.984
223.02834_7.217	18689536.51	14861700.25	17512016.69	18372036.63	18692088.12	18574735.83	13384377.95	61772183.43	9837827.969	26381066.66	18112290.24	11862336.3	17929113.54	11636018.02	17583690.49	16771634.39	21933619.57	41659798.98	61237696.66	17756137.55	17351313.37	17322281.27	17404590.51	17865432.73	18420173.85	17899049.1	41277021.49	19146576	14456791.67	8482190.552	11129508.94	12018802.5	13261171.33	111725956.4	117679991.9	117789213.1	117587935.5	114354239.6	129175135.5	118944897.9
846.62345_6.596	6720166.037	21187911.49	12591790.61	5250452.784	3410165.019	11476599.87	50489292.75	23231663.85	82658794.54	119260807.4	6456734.139	44011285.96	12607815.15	59420205.56	38452234.59	36802916.27	13196116.87	40064274.77	47387538.06	8807329.505	6250193.411	35969926.35	74334581.6	6837384.439	37613622.2	18084130.72	26870637.75	6767246.064	72326173.64	69185.14524	76290.63409	99766.24497	84435.38057	38450092.42	38410230.93	38782502.56	38983291.02	39507592.54	39603435.12	2096488.634
473.21882_1.257	112538623.4	97157834.22	101417945.4	117907421.9	112523972.9	102128462.8	117252003.4	118608486.6	1467291.319	121645081.6	94442009	10066028.06	466630.1307	322972.5549	110296282.9	126212938.7	122681885.8	104689526.2	109919243.9	112348224.2	109662588	112998342.7	111723473.2	101822476.4	108011154.2	114221866.5	110775037.7	215264.1032	115648411.3	81389.46397	82313.77903	128504.811	170081.3942	98118274.21	98316362.32	98733344.28	99836024.85	102529106.7	102159218.4	536466.7261
708.65204_7.45	12646004.99	17290764.61	17882952.47	10385523.74	11529274.99	15973571.09	50316315.57	31960527.59	76374557.28	120694345.2	14007413.51	84777943.06	13584760.22	53574384.1	28794192.46	45240412.02	26319050.75	54016459.15	90785175.14	9052709.544	20088540.14	49921957.6	51585723.01	6435471.888	28202258.68	13645621.06	53931874.53	5035894.125	69308844	138878.8729	131097.4803	121796.3615	133205.7938	31101353.72	32044805.79	31779786.26	32309730.54	31986482.92	32535783.95	10653453.87
