mz_rt	6	10	14	18	20	26	34	35	43	49	61	69	73	74	76	77	84	93	96	99	101	105	111	113	119	132	151	154	160	blank1	blank2	blank3	blank4	QC00	QC0	QC1	QC2	QC3	QC4	QC5
874.78543_8.829	3486510.974	110704145.5	37642984.67	4243502.767	5245275.255	9928181.599	233887117.3	60532986.28	188398053.8	248325771.9	24941722.18	674645906.7	34384388.69	118351249.3	181399507.6	53200153.75	51904882.2	51215297.25	14756323.22	20855749.71	64665424.37	110689917.4	96515476.15	63578080.66	48102540.41	100552133.6	457379421.9	34573900.51	109886332.9	385087.6703	1173340.308	1378126.89	1400212.484	116652593	124704522.1	123619897.9	124494388.6	123492241.8	123263702.3	122871124.5
852.803_8.793	3181281.296	132894860.3	41076272.22	4005060.736	4792467.708	8910326.478	185634330.7	57038373.31	157103171.7	25192085.35	28799904.01	477811153.5	31724162.11	90127951.98	154712820.5	61061613.35	46519843.23	46967896.1	11444922.56	18259653.56	60909907.77	115748332.4	89062464.26	56175010.82	44108423.67	91523352.28	313690896.1	29779601.16	93593293.02	1283526.954	1048460.424	1218339.855	1218749.269	122900662.2	135132044.8	131140369.6	127353826.5	151415121.7	129378760.5	127881827.2
432.28037_0.758	1668747.706	1034237.489	447938245	970606.0905	920473.5658	24080834.84	1336697.355	1060547.3	889560.3902	1768348.548	46469644.61	563079555.1	3171174.847	263011513.8	1030790.464	396126340.6	980111.5368	26658988.45	1262698.204	1921956.049	925820.8296	1080639.063	18642017.72	7053608.935	2114197.951	1507402.398	6501452.594	32985669.43	250085232.2	508313.4943	521155.4459	416826.3971	279207.6963	225586896.4	226653953.9	226417556.1	226133641.9	226093292.4	227460512.8	228452362.1
622.6132_6.788	95939229.46	146502059.1	166804842.5	56115721.16	60720175.71	2642915.009	233880176.9	159326107.4	495586783.5	568073803.2	66485401.53	296720892.6	137781556.5	278300782.4	274041289	143815619.2	308018104.7	537349362.3	181602668.8	44146833.53	332239.6658	373893.7844	15309632.25	1351734.838	1216962.35	49721598.22	313042896.6	23422614.65	8294501.845	444491.6885	289179.441	535209.431	419975.325	194246525.3	195650492.3	197948249.7	193325677.5	190454526	193376454.6	197718412.4
393.32928_1.449	354369529.6	228434848.3	261534318.4	323061305.2	246321669.9	303398657.3	279232071.7	357994318	993516.8025	365699433.6	256397323.4	339541164.6	1200805.974	799088.2559	303095083.6	609431277.3	258421318.7	268134959	348858248.4	314086650	428584319.3	389562787.1	328323721.1	303101771.8	296820889.9	280892022.7	424701007.5	589273.182	376574265.9	95505.50672	63505.16107	37717.15487	33859.82356	308960687.3	305901989.9	307458490.2	305769023.4	306539847.1	305834061.7	306728549
374.3627_1.886	111154085	250660630.8	205599672	89318033.97	105690957	5626063.628	176739.6874	236929781.7	579145152.7	490035546	217848561.9	446175868.1	182263284.1	371340342.8	306908857.9	164556.6253	288355067.5	423415021.2	317232341.8	83621975.48	204943.976	187037.1053	195556.2871	5492142.476	4514601.509	142046583.5	474476312	52635610.32	248338.6638	4751728.291	4637390.629	5531565.479	5525010.833	233784923.4	243015531.4	239355665.7	239695146.3	240972978.8	237506548.4	246932249.9
327.20143_0.763	2262140.166	1269416.005	456897559.3	1702793.107	1168038.593	19369681.98	1822705.57	1172487.377	1009573.962	2292448.211	25036802.87	553426066.5	2901114.014	293149791.3	1337166.04	171874968.1	1290687.668	34280133.81	1671649.429	2269710.882	1147343.633	1353843.809	26982396.92	5682485.447	2004854.636	1811051.636	9123219.701	18821726.95	118788308.8	686870.7005	978410.259	697299.9732	495951.4161	230079992.9	231451771.5	230359577.3	230185424.5	231715484.8	230909198.3	231155706
640.62421_6.782	95757290.56	150460085.9	162951150.1	52001849.41	58409960.33	2202107.535	225436748.9	166286205.5	679430433.7	214028132.6	64882867.94	374157086.3	136692584.2	15146659.7	64157644.82	144422745	325099347.9	574829339	36071627.91	40414265.06	376749.9599	360620.2901	15443587.73	936889.0227	546322.2185	45681330.9	142021746.8	21024890.18	1840696.611	332967.8051	204421.6214	348762.466	263206.7282	146787845.5	148665617.3	144679895.1	148358907.1	73816180.74	146913884.4	156547935.1
784.58462_4.875	21902424.29	66184582.63	65099027.04	14039994.64	4890526.343	23773005.68	180475085.3	82072355.97	541644416.1	401321572.8	20521688.11	244476890.3	21484366.25	224936493.7	136985404.9	90642506.07	39962107.81	134883529.2	400113789.5	4987753.689	2687447.891	64383436.94	149161135.3	12701418.78	103938092.1	50772716.89	255917727.7	13484535.5	127816813.2	393581.39	387304.5345	477255.019	140616.5203	138863342.9	138528953.1	137606834.8	138414503.6	137373895.7	138389951.6	136539775.7
788.61662_6.548	13351560.96	46456124.41	27118322.83	12994625.12	6652267.599	7399765.357	143890264.9	47042389.56	481794420.9	520032813.5	9734498.63	151803290.7	26442999.27	200569198.7	96541166.55	77374833.61	27194978.13	98848879.93	181515879.6	15644847.55	13052279.95	84947700.74	206250908.8	15037430.1	92387261.86	30722888.72	67508766.14	13129623.54	229009488.8	4759241.942	5364731.23	4385273.359	6031810.953	99928215.47	98767821.69	99681651.43	100144040.4	98923219.53	98164012.38	100370212.8
459.28024_0.757	1526387.522	1051614.02	338845419.6	963146.6555	894770.7385	22652462.21	1218343.397	1166478.259	889466.3477	1659219.127	54104793.15	427933904.4	3094979.248	196122296	1013933.334	492207314.3	938299.4068	19808594.9	1329947.56	1840442.91	1074784.12	1269264.307	13869237.98	7207555.159	2364603.799	1518754.191	4788104.879	39203910.03	290734053.3	471811.2215	430258.1528	377562.6709	282880.229	188935336.2	190398219.8	188584011.2	188934903.4	190267526.5	189390960.5	191250066.2
568.56623_5.964	119104875.9	165599811.2	147196711.8	67647909.71	80484241.23	2504568.027	141164591.8	224249752.9	390474897.9	421789684.4	108786580.2	254288898.5	120503043.1	206543601.3	211456212.3	197665271.9	346064485.7	505041660.9	244420597	31293924.16	527863.246	505063.1135	5464624.186	1460828.897	1189882.567	62547665.24	460107573.5	20507802.01	5585975.465	434742.9242	429520.2536	524362.8065	468324.6861	164104864.9	165239455.8	166516541.6	166070373.5	166637325.5	166493506.4	164253716.9
