mz	rt	IonMode
212	852.80127	9.487	Positive
213	418.38898	1.875	Positive
214	1709.03976	0.726	Positive
215	854.58319	1.85	Positive
216	860.77026	8.612	Positive
217	988.92561	9.455	Positive
218	894.75443	8.002	Positive
219	859.76055	8.553	Positive
220	842.74411	7.453	Positive
221	896.76995	8.103	Positive
222	1149.7079	0.72	Positive
223	906.84809	9.644	Positive
224	590.3508	1.953	Positive
225	718.68662	2.047	Positive
226	640.40527	0.722	Positive
227	890.81664	9.357	Positive
228	659.48361	0.919	Positive
229	632.39763	1.952	Positive
230	864.80156	9.375	Positive
231	860.80673	9.377	Positive
232	856.81091	9.493	Positive
233	829.7161	7.799	Positive
234	850.82279	9.664	Positive
235	974.9105	9.455	Positive
236	900.63686	1.979	Positive
237	812.61625	6.081	Positive
238	814.1657	2.704	Positive
239	862.78542	9.063	Positive
240	862.78557	9.075	Positive
241	502.31634	1.128	Positive
242	1171.72063	0.719	Positive
243	884.84201	9.664	Positive
244	1059.64611	6.302	Positive
245	486.43383	2.516	Positive
246	928.83232	9.311	Positive
247	974.74944	6.923	Positive
248	666.5825	4.847	Positive
249	625.72971	0.72	Positive
250	870.7541	8.055	Positive
251	899.62491	1.979	Positive
252	1783.23693	1.989	Positive
253	900.63634	1.985	Positive
254	384.38341	2.28	Positive
255	678.67616	7.769	Positive
256	858.73947	7.365	Positive
257	828.69236	6.968	Positive
258	567.02801	0.721	Positive
259	732.55391	4.69	Positive
260	862.78559	8.991	Positive
261	1054.296	7.043	Positive
262	599.38086	0.733	Positive
263	642.58225	5.112	Positive
264	728.45775	0.716	Positive
265	552.35284	0.723	Positive
266	458.34776	1.944	Positive
267	797.49872	0.721	Positive
268	874.7855	8.749	Positive
269	444.40466	1.96	Positive
270	446.42024	2.212	Positive
271	926.8167	8.978	Positive
272	964.92631	9.661	Positive
273	787.66924	6.995	Positive
274	286.31044	1.974	Positive
275	880.83227	9.655	Positive
276	880.83237	9.616	Positive
277	898.7852	8.525	Positive
278	650.64501	7.398	Positive
279	862.78572	8.982	Positive
280	681.47301	4.039	Positive
281	757.80833	0.716	Positive
282	581.70352	0.725	Positive
283	504.44416	2.403	Positive
284	537.67725	0.723	Positive
285	596.37903	0.725	Positive
286	594.87821	0.725	Positive
287	344.35249	2.033	Positive
288	817.71527	7.673	Positive
289	925.80553	8.98	Positive
290	880.8323	9.651	Positive
291	904.76022	7.215	Positive
292	703.57562	4.85	Positive
293	897.77417	8.525	Positive
294	1092.6733	0.732	Positive
295	548.50414	6.649	Positive
296	744.59073	6.178	Positive
297	888.80259	9.145	Positive
298	532.4757	2.723	Positive
299	592.56673	5.104	Positive
300	944.86389	8.832	Positive
301	906.88549	10.027	Positive
302	888.87353	10.029	Positive
303	611.05422	0.722	Positive
304	346.33159	1.446	Positive
305	946.71835	6.64	Positive
306	853.80537	9.488	Positive
307	632.39421	2.135	Positive
308	365.3163	1.045	Positive
309	788.61674	6.806	Positive
310	962.90996	9.471	Positive
311	316.32099	1.681	Positive
312	826.66862	7.042	Positive
313	810.60082	5.641	Positive
314	398.36272	1.759	Positive
315	871.76305	8.726	Positive
316	782.56738	5.573	Positive
317	354.33654	1.705	Positive
318	840.63409	2.045	Positive
319	637.30554	2.174	Positive
320	524.37096	2.398	Positive
321	772.48392	0.716	Positive
322	659.48378	0.924	Positive
323	890.81685	9.407	Positive
324	828.6845	7.542	Positive
325	890.81654	9.408	Positive
326	516.33198	1.135	Positive
327	312.32615	2.051	Positive
328	787.15919	0.716	Positive
329	958.87935	8.831	Positive
330	523.00178	0.725	Positive
331	530.34767	2.043	Positive
332	692.40639	0.759	Positive
333	984.89486	8.909	Positive
334	800.65332	6.989	Positive
335	898.60921	1.843	Positive
336	898.60937	1.842	Positive
337	1193.73405	0.719	Positive
338	1215.74627	0.719	Positive
339	880.71744	8.101	Positive
340	654.33224	2.183	Positive
341	744.46864	3.8	Positive
342	986.91025	9.814	Positive
343	988.92656	9.98	Positive
344	854.77865	8.972	Positive
345	696.43808	0.747	Positive
346	680.69173	8.213	Positive
347	846.44107	1.216	Positive
348	886.78594	8.68	Positive
349	740.54597	3.391	Positive
350	948.89479	9.471	Positive
351	986.91084	9.815	Positive
352	985.8992	9.81	Positive
353	964.92723	9.808	Positive
354	732.55496	4.848	Positive
355	959.88375	9.198	Positive
356	960.89467	9.198	Positive
357	483.29846	0.95	Positive
358	920.86405	9.232	Positive
359	872.71816	6.833	Positive
360	926.81703	8.858	Positive
361	886.7858	8.588	Positive
362	988.89053	8.944	Positive
363	970.87964	8.91	Positive
364	934.87945	9.232	Positive
365	902.81678	9.323	Positive
366	424.37598	2.242	Positive
367	459.2491	1.156	Positive
368	926.81713	8.859	Positive
369	801.83459	0.715	Positive
370	726.67915	7.822	Positive
371	844.73689	8.021	Positive
372	710.66632	7.032	Positive
373	919.852	9.234	Positive
374	836.76986	9.018	Positive
375	904.75994	7.241	Positive
376	439.27225	0.952	Positive
377	886.78606	8.682	Positive
378	577.36747	0.734	Positive
379	437.19327	1.24	Positive
380	582.58215	6.474	Positive
381	946.87956	9.198	Positive
382	530.45975	2.44	Positive
383	802.66925	7.603	Positive
384	644.59775	5.55	Positive
385	840.72868	7.358	Positive
386	846.70266	6.84	Positive
387	768.57709	4.04	Positive
388	846.71445	7.433	Positive
389	786.6823	6.855	Positive
390	342.33665	1.786	Positive
391	836.76998	9.02	Positive
392	851.39778	1.406	Positive
393	834.75513	8.63	Positive
394	932.86409	9.624	Positive
395	696.43752	0.752	Positive
396	459.24918	1.156	Positive
397	748.62191	7.002	Positive
398	972.89513	9.263	Positive
399	972.89521	9.264	Positive
400	386.39909	2.568	Positive
401	830.70832	7.064	Positive
402	986.91039	9.263	Positive
403	782.56942	4.259	Positive
404	886.77103	7.715	Positive
405	928.8326	9.471	Positive
406	841.7159	7.426	Positive
407	518.33572	0.947	Positive
408	508.32631	0.725	Positive
409	790.55951	5.672	Positive
410	762.60125	6.527	Positive
411	646.41316	1.952	Positive
412	782.72367	8.594	Positive
413	652.66063	7.59	Positive
414	859.72607	7.426	Positive
415	421.34236	1.022	Positive
416	948.89481	9.378	Positive
417	430.28298	0.956	Positive
418	640.62408	6.58	Positive
419	814.63242	6.548	Positive
420	372.34708	1.562	Positive
421	652.66073	7.688	Positive
422	960.89544	9.824	Positive
423	930.77575	7.211	Positive
424	960.89534	9.809	Positive
425	906.84871	9.245	Positive
426	900.80181	9.125	Positive
427	870.77542	7.795	Positive
428	683.22518	3.547	Positive
429	719.57003	4.1	Positive
430	386.25684	0.957	Positive
431	902.81672	9.326	Positive
432	796.62177	6.398	Positive
433	566.55108	4.991	Positive
434	892.8321	9.554	Positive
435	883.83086	9.609	Positive
436	652.66064	7.518	Positive
437	814.71324	7.149	Positive
438	768.70807	8.393	Positive
439	666.64022	7.179	Positive
440	892.83277	9.536	Positive
441	887.8263	9.54	Positive
442	960.89557	9.768	Positive
443	878.69991	7.434	Positive
444	610.61345	6.982	Positive
445	627.64032	6.973	Positive
446	958.88034	9.255	Positive
447	708.72329	8.75	Positive
448	926.81736	9.128	Positive
449	754.71039	8.324	Positive
450	312.32614	2.107	Positive
451	926.81671	9.125	Positive
452	859.6869	1.546	Positive
453	990.94121	9.633	Positive
454	384.38346	2.33	Positive
455	982.87949	8.433	Positive
456	474.30929	0.95	Positive
457	820.73949	8.418	Positive
458	857.74703	8.454	Positive
459	846.75377	8.339	Positive
460	906.82691	9.387	Positive
461	1720.46483	8.336	Positive
462	845.86055	0.714	Positive
463	567.36411	0.802	Positive
464	908.9013	10.262	Positive
465	474.28502	1.142	Positive
466	888.80165	8.96	Positive
467	890.88928	10.262	Positive
468	820.73955	8.426	Positive
469	820.73931	8.358	Positive
470	1421.78609	0.743	Positive
471	774.60097	6.12	Positive
472	946.87931	9.287	Positive
473	444.4047	2.015	Positive
474	1228.99749	4.986	Positive
475	945.86801	9.287	Positive
476	932.79152	7.509	Positive
477	796.60833	2.049	Positive
478	1237.76042	0.717	Positive
479	540.53549	4.894	Positive
480	858.73942	7.201	Positive
481	782.56993	4.847	Positive
482	968.86394	8.434	Positive
483	1465.81209	0.741	Positive
484	926.81677	9.034	Positive
485	796.60819	2.049	Positive
486	824.65316	6.992	Positive
487	928.83244	9.318	Positive
488	680.6918	7.908	Positive
489	960.89465	9.289	Positive
490	782.56942	4.7	Positive
491	630.38224	1.92	Positive
492	959.88311	9.288	Positive
493	562.36161	0.95	Positive
494	1795.48355	8.488	Positive
495	1664.45752	7.025	Positive
496	834.75488	8.622	Positive
497	808.58299	5.842	Positive
498	988.92603	9.496	Positive
499	810.59859	6.54	Positive
500	824.80724	9.685	Positive
501	433.17757	1.485	Positive
502	970.71844	6.03	Positive
503	1509.83822	0.743	Positive
504	770.60549	5.569	Positive
505	615.45753	0.919	Positive
506	970.87978	8.803	Positive
507	608.59807	6.517	Positive
508	638.60849	5.671	Positive
509	898.72612	8.462	Positive
510	780.55163	5.02	Positive
511	808.81238	9.51	Positive
512	811.66884	6.462	Positive
513	724.66336	7.355	Positive
514	830.79672	9.506	Positive
515	924.80136	8.64	Positive
516	316.32109	1.61	Positive
517	731.6067	5.413	Positive
518	834.79149	9.4	Positive
519	890.78122	7.753	Positive
520	1537.89099	0.732	Positive
521	1449.83854	0.733	Positive
522	984.89528	8.803	Positive
523	900.80177	9.156	Positive
524	1014.94255	9.966	Positive
525	640.5665	4.751	Positive
526	992.959	9.987	Positive
527	576.3322	2.133	Positive
528	723.83818	1.872	Positive
529	450.20424	1.488	Positive
530	752.69448	7.818	Positive
531	750.67642	7.831	Positive
532	816.5101	0.716	Positive
533	976.92619	9.634	Positive
534	898.78566	8.676	Positive
535	924.80161	8.651	Positive
536	794.60596	5.396	Positive
537	930.776	7.245	Positive
538	867.37016	1.141	Positive
539	328.3211	2.145	Positive
540	493.65088	0.726	Positive
541	878.74478	7.218	Positive
542	644.59753	6.091	Positive
543	898.82261	9.413	Positive
544	880.81099	9.412	Positive
545	650.64503	7.17	Positive
546	932.7915	7.499	Positive
547	924.8015	8.754	Positive
548	922.78566	8.323	Positive
549	1597.89007	0.742	Positive
550	370.36799	2.16	Positive
551	862.82233	9.567	Positive
552	1553.86404	0.741	Positive
553	852.68437	7.192	Positive
554	880.77559	8.688	Positive
555	520.50908	5.171	Positive
556	682.89094	3.525	Positive
557	831.18535	0.713	Positive
558	1646.447	8.175	Positive
559	1315.20172	9.504	Positive
560	907.85185	9.258	Positive
561	430.28332	0.968	Positive
562	928.83237	9.373	Positive
563	616.56682	5.012	Positive
564	694.67132	7.559	Positive
565	923.78882	8.499	Positive
566	410.32656	1.618	Positive
567	934.87943	9.379	Positive
568	830.5955	1.968	Positive
569	668.65547	7.046	Positive
570	801.685	7.256	Positive
571	666.6398	6.615	Positive
572	854.70783	6.844	Positive
573	920.77085	8.17	Positive
574	946.87946	9.085	Positive
575	974.91089	9.497	Positive
576	1467.00564	7.508	Positive
577	871.73885	7.548	Positive
578	1259.77288	0.718	Positive
579	824.65319	6.816	Positive
580	858.75433	8.244	Positive
581	555.35428	0.734	Positive
582	742.57507	5.395	Positive
583	580.56661	5.506	Positive
584	924.80122	8.751	Positive
585	906.77613	7.514	Positive
586	936.89557	9.652	Positive
587	754.56103	3.39	Positive
588	722.49147	3.286	Positive
589	942.84819	8.457	Positive
590	718.57529	5.478	Positive
591	922.78626	8.299	Positive
592	831.69518	6.691	Positive
593	928.83326	9.211	Positive
594	942.63556	1.834	Positive
595	942.63532	1.836	Positive
596	657.36418	3.801	Positive
597	904.83304	8.871	Positive
598	496.33996	2.053	Positive
599	990.86936	7.591	Positive
600	867.77793	9.561	Positive
601	388.37844	2.078	Positive
602	958.88001	9.623	Positive
603	768.59025	5.397	Positive
604	595.12899	0.716	Positive
605	957.86803	9.635	Positive
606	812.69774	7.045	Positive
607	606.38796	0.949	Positive
608	484.41803	2.314	Positive
609	1377.75904	0.742	Positive
610	1317.7597	0.734	Positive
611	986.91032	9.167	Positive
612	750.67937	7.431	Positive
613	928.83274	9.208	Positive
614	944.663	1.967	Positive
615	985.89915	9.168	Positive
616	884.75518	7.567	Positive
617	1201.03072	8.841	Positive
618	896.7702	8.306	Positive
619	955.85197	8.455	Positive
620	956.86375	8.452	Positive
621	1641.91602	0.741	Positive
622	836.7705	8.253	Positive
623	1405.81225	0.735	Positive
624	810.60104	5.103	Positive
625	990.9421	10.162	Positive
626	1172.9993	8.458	Positive
627	796.73978	8.823	Positive
628	943.85243	8.924	Positive
629	874.73418	7.131	Positive
630	838.78604	9.391	Positive
631	698.64782	7.352	Positive
632	916.83262	8.398	Positive
633	976.85392	7.531	Positive
634	972.895	9.152	Positive
635	831.69548	7.197	Positive
636	370.33156	1.56	Positive
637	890.81705	9.293	Positive
638	990.94225	10.161	Positive
639	1077.559	2.276	Positive
640	717.59144	4.88	Positive
641	918.84848	8.863	Positive
642	1467.0061	7.509	Positive
643	453.16747	1.134	Positive
644	971.88376	9.17	Positive
645	352.32094	1.558	Positive
646	962.91111	9.978	Positive
647	606.38814	0.946	Positive
648	382.3679	2.119	Positive
649	874.62131	1.935	Positive
650	1493.86496	0.733	Positive
651	616.56647	4.714	Positive
652	1193.80541	4.18	Positive
653	1016.95821	10.159	Positive
654	894.84891	9.282	Positive
655	772.62184	6.816	Positive
656	1669.96885	0.732	Positive
657	902.74477	6.969	Positive
658	917.83624	8.862	Positive
659	606.58256	5.598	Positive
660	904.83286	8.379	Positive
661	833.71102	7.17	Positive
662	1325.27245	9.711	Positive
663	955.85177	8.387	Positive
664	1994.12217	0.742	Positive
665	248.18071	0.753	Positive
666	800.65327	7.201	Positive
667	908.8637	9.259	Positive
668	1361.78565	0.733	Positive
669	620.59789	6.463	Positive
670	916.83266	9.378	Positive
671	1333.73353	0.742	Positive
672	666.64026	7.217	Positive
673	963.91499	9.642	Positive
674	346.33163	2.187	Positive
675	932.86386	8.861	Positive
676	1175.01516	8.925	Positive
677	642.58208	5.267	Positive
678	794.72352	8.417	Positive
679	932.86354	9.614	Positive
680	794.7238	8.371	Positive
681	934.87948	9.799	Positive
682	782.59239	4.039	Positive
683	852.68419	7.431	Positive
684	660.59272	5.27	Positive
685	936.89482	9.487	Positive
686	988.92667	9.966	Positive
687	931.85219	8.861	Positive
688	759.63783	6.433	Positive
689	972.85925	7.597	Positive
690	561.35224	0.717	Positive
691	806.56759	5.049	Positive
692	934.87984	9.801	Positive
693	848.80736	9.511	Positive
694	922.87952	9.486	Positive
695	858.79146	9.05	Positive
696	1542.14588	4.867	Positive
697	960.85945	7.745	Positive
698	1196.82362	6.99	Positive
699	942.84845	8.39	Positive
700	942.84808	8.393	Positive
701	612.59276	5.596	Positive
702	935.88345	9.485	Positive
703	926.81649	8.392	Positive
704	636.59307	4.863	Positive
705	950.91094	9.651	Positive
706	908.86419	9.817	Positive
707	862.82259	9.594	Positive
708	921.86766	9.49	Positive
709	746.57073	5.116	Positive
710	892.83333	8.807	Positive
711	758.48348	3.801	Positive
712	962.91111	9.979	Positive
713	1223.83885	7.264	Positive
714	718.57493	6.144	Positive
715	432.38674	2.167	Positive
716	703.50984	0.919	Positive
717	893.83717	9.26	Positive
718	815.70072	7.916	Positive
719	956.86391	8.389	Positive
720	878.7445	7.224	Positive
721	866.81724	9.573	Positive
722	809.60428	5.796	Positive
723	836.80668	9.571	Positive
724	710.68171	1.889	Positive
725	891.82007	9.252	Positive
726	944.90044	9.376	Positive
727	1004.62099	0.733	Positive
728	1289.7072	0.742	Positive
729	807.5716	5.012	Positive
730	908.86383	9.817	Positive
731	1281.78649	0.719	Positive
732	646.61369	6.48	Positive
733	694.67125	7.216	Positive
734	845.74105	8.052	Positive
735	1146.98412	8.524	Positive
736	478.97534	0.724	Positive
737	930.84808	9.517	Positive
738	664.62421	5.784	Positive
739	646.61382	6.481	Positive
740	890.81729	9.245	Positive
741	1193.80561	4.18	Positive
742	896.77044	8.311	Positive
743	1273.73353	0.732	Positive
744	792.56866	3.286	Positive
745	1224.85539	7.26	Positive
746	698.4991	3.392	Positive
747	754.56158	3.211	Positive
748	564.53522	4.252	Positive
749	698.4991	3.386	Positive
750	1073.02057	9.979	Positive
751	830.70827	6.904	Positive
752	906.77602	7.609	Positive
753	930.8485	8.338	Positive
754	884.76992	8.243	Positive
755	932.86397	9.661	Positive
756	944.82732	8.411	Positive
757	1713.99448	0.732	Positive
758	664.66095	7.578	Positive
759	876.72921	6.961	Positive
760	929.83605	8.408	Positive
761	930.84822	8.407	Positive
762	1199.01472	8.491	Positive
763	648.62951	7.007	Positive
764	675.37469	2.616	Positive
765	666.64007	6.83	Positive
766	890.78127	7.75	Positive
767	836.80618	9.571	Positive
768	648.62968	7.121	Positive
769	866.78064	7.604	Positive
770	393.32937	1.786	Positive
771	974.83809	7.226	Positive
772	958.87947	9.054	Positive
773	930.84845	8.611	Positive
774	972.89477	9.055	Positive
775	899.77016	7.924	Positive
776	870.73944	7.406	Positive
777	902.74484	7.095	Positive
778	972.8953	9.292	Positive
779	970.87955	9.039	Positive
780	604.36396	2.134	Positive
781	958.84369	7.598	Positive
782	858.75148	8.468	Positive
783	738.42571	2.172	Positive
784	882.77582	7.834	Positive
785	976.92598	9.553	Positive
786	952.83215	9.061	Positive
787	906.84836	8.806	Positive
788	974.91049	9.358	Positive
789	930.88461	9.392	Positive
790	832.6987	7.192	Positive
791	806.56976	4.453	Positive
792	772.5852	5.285	Positive
793	974.91068	9.409	Positive
794	859.72659	7.148	Positive
795	905.83622	8.81	Positive
796	890.7812	7.936	Positive
797	842.70814	7.115	Positive
798	668.65561	7.189	Positive
799	648.6292	6.776	Positive
800	567.27483	1.981	Positive
801	644.59794	5.727	Positive
802	988.85383	7.335	Positive
803	868.76023	7.738	Positive
804	648.62912	6.831	Positive
805	954.84863	9.405	Positive
806	954.84837	9.441	Positive
807	954.84778	9.357	Positive
808	868.76031	7.667	Positive
809	592.56668	5.396	Positive
810	604.44219	2.019	Positive
811	937.89951	9.654	Positive
812	1581.91699	0.732	Positive
813	844.72389	7.214	Positive
814	488.30074	1.128	Positive
815	838.78636	9.335	Positive
816	966.84815	8.102	Positive
817	930.84967	9.057	Positive
818	984.89525	9.699	Positive
819	908.86438	9.505	Positive
820	736.43273	0.761	Positive
821	884.77038	8.253	Positive
822	571.43157	0.924	Positive
823	932.8642	9.329	Positive
824	846.75399	8.544	Positive
825	884.83397	9.482	Positive
826	1469.02132	7.716	Positive
827	954.84886	9.262	Positive
828	588.33558	1.948	Positive
829	894.81221	7.925	Positive
830	896.77021	8.527	Positive
831	872.43752	1.142	Positive
832	980.86379	8.102	Positive
833	342.33665	1.851	Positive
834	1254.92203	2.182	Positive
835	195.12269	0.767	Positive
836	650.41419	0.944	Positive
837	1625.94278	0.732	Positive
838	692.40094	2.613	Positive
839	958.87974	9.63	Positive
840	932.86395	8.777	Positive
841	834.60083	5.39	Positive
842	372.38358	2.398	Positive
843	706.70746	8.206	Positive
