mz	rt	IonMode
2562	1108.96835	9.057	Positive
2563	502.28017	1.13	Positive
2564	667.64357	6.701	Positive
2565	273.13086	0.784	Positive
2566	467.31317	2.412	Positive
2567	960.93254	10.219	Positive
2568	922.88005	9.905	Positive
2569	734.60694	4.866	Positive
2570	720.59062	6.812	Positive
2571	894.81226	8.537	Positive
2572	400.34212	2.05	Positive
2573	443.42092	2.126	Positive
2574	1067.00954	9.519	Positive
2575	405.34748	1.451	Positive
2576	673.42119	2.981	Positive
2577	693.68737	3.817	Positive
2578	692.45852	1.849	Positive
2579	1088.59431	3.187	Positive
2580	964.53161	0.742	Positive
2581	840.69235	6.801	Positive
2582	601.35291	2.778	Positive
2583	736.48483	1.845	Positive
2584	1012.9265	9.208	Positive
2585	1047.0049	10.564	Positive
2586	798.60106	5.548	Positive
2587	1451.0208	2.687	Positive
2588	663.5718	7.849	Positive
2589	668.66698	5.645	Positive
2590	1167.77338	6.991	Positive
2591	1075.03653	10.257	Positive
2592	551.4046	1.531	Positive
2593	524.65353	0.727	Positive
2594	1660.53349	8.769	Positive
2595	836.69733	6.921	Positive
2596	1060.85176	7.87	Positive
2597	649.52634	1.082	Positive
2598	914.81741	9.327	Positive
2599	782.72383	8.597	Positive
2600	724.72959	6.894	Positive
2601	636.59287	6.014	Positive
2602	994.87978	8.746	Positive
2603	1281.02769	5.294	Positive
2604	921.83132	8.523	Positive
2605	718.4167	2.568	Positive
2606	706.55507	2.206	Positive
2607	724.7185	8.011	Positive
2608	288.28971	1.252	Positive
2609	909.77367	8.308	Positive
2610	723.69795	6.747	Positive
2611	734.6068	4.862	Positive
2612	931.91658	8	Positive
2613	1008.64513	2.177	Positive
2614	750.58073	2.012	Positive
2615	1019.97746	9.999	Positive
2616	1154.81304	6.727	Positive
2617	1068.98928	10.108	Positive
2618	539.32911	0.729	Positive
2619	716.46611	4.922	Positive
2620	664.62475	4.892	Positive
2621	663.6127	4.893	Positive
2622	576.53536	6.649	Positive
2623	889.79826	8.854	Positive
2624	980.62144	2.047	Positive
2625	878.78107	7.926	Positive
2626	962.73431	2.302	Positive
2627	618.3793	2.779	Positive
2628	828.63473	2.041	Positive
2629	604.46844	1.233	Positive
2630	230.24778	1.141	Positive
2631	1503.47349	8.44	Positive
2632	962.87488	8.299	Positive
2633	514.4653	2.779	Positive
2634	601.85851	0.731	Positive
2635	724.71815	7.907	Positive
2636	416.40981	2.371	Positive
2637	796.59451	1.035	Positive
2638	947.50983	4.018	Positive
2639	1182.84437	7.148	Positive
2640	782.72359	8.501	Positive
2641	1263.18702	10.077	Positive
2642	920.90102	10.084	Positive
2643	877.65356	1.906	Positive
2644	998.94743	9.296	Positive
2645	974.74928	6.706	Positive
2646	680.72829	7.946	Positive
2647	730.10981	0.727	Positive
2648	990.9056	8.525	Positive
2649	942.92105	9.529	Positive
2650	878.85382	9.393	Positive
2651	986.75013	6.745	Positive
2652	417.36999	2.619	Positive
2653	902.81748	8.203	Positive
2654	1761.58265	9.188	Positive
2655	386.36296	1.838	Positive
2656	923.78118	8.104	Positive
2657	357.27886	1.617	Positive
2658	994.88003	8.977	Positive
2659	832.67938	6.275	Positive
2660	729.5916	4.84	Positive
2661	1184.82377	6.812	Positive
2662	796.59454	1.034	Positive
2663	676.73249	0.739	Positive
2664	989.84927	8.626	Positive
2665	1136.80283	6.847	Positive
2666	590.4999	3.319	Positive
2667	834.61467	1.978	Positive
2668	978.84888	9.129	Positive
2669	1140.63633	0.737	Positive
2670	1012.92653	9.372	Positive
2671	514.31638	1.13	Positive
2672	1080.98888	9.641	Positive
2673	1004.88511	7.829	Positive
2674	690.6189	9.329	Positive
2675	675.08714	0.708	Positive
2676	810.62451	4.858	Positive
2677	344.31591	1.185	Positive
2678	608.56215	4.897	Positive
2679	849.69453	8.006	Positive
2680	1501.38446	9.493	Positive
2681	1983.92138	9.707	Positive
2682	551.50376	9.253	Positive
2683	653.87168	0.745	Positive
2684	654.63928	6.822	Positive
2685	799.76827	5.736	Positive
2686	1238.8722	7.092	Positive
2687	880.77592	8.753	Positive
2688	978.94244	9.735	Positive
2689	1093.99231	9.631	Positive
2690	610.57733	4.859	Positive
2691	934.91653	9.738	Positive
2692	783.5159	4.451	Positive
2693	1020.98911	10.604	Positive
2694	626.60883	6.821	Positive
2695	729.59109	4.614	Positive
2696	910.78599	8.512	Positive
2697	854.57541	4.455	Positive
2698	722.55248	2.637	Positive
2699	829.67957	5.815	Positive
2700	660.54151	2.954	Positive
2701	626.60853	6.726	Positive
2702	780.68701	7.455	Positive
2703	917.82925	9.274	Positive
2704	948.73446	6.743	Positive
2705	1088.03963	10.096	Positive
2706	1096.78563	2.667	Positive
2707	798.68249	6.906	Positive
2708	575.50372	8.844	Positive
2709	982.88001	9.565	Positive
2710	782.59296	3.805	Positive
2711	1239.79586	2.182	Positive
2712	1213.03644	9.075	Positive
2713	828.62301	4.866	Positive
2714	776.58021	4.429	Positive
2715	974.87464	8.953	Positive
2716	998.91117	9.209	Positive
2717	1092.77054	2.629	Positive
2718	1036.9269	9.819	Positive
2719	567.45803	2.563	Positive
2720	740.69527	8.067	Positive
2721	1267.20297	9.758	Positive
2722	580.63947	4.115	Positive
2723	838.51024	4.859	Positive
2724	1208.86029	7.305	Positive
2725	1012.83021	7.794	Positive
2726	593.41374	0.909	Positive
2727	796.66633	6.832	Positive
2728	477.2153	1.486	Positive
2729	1006.87955	9.36	Positive
2730	728.55959	6.174	Positive
2731	1002.94179	9.539	Positive
2732	916.54848	3.149	Positive
2733	634.61347	6.89	Positive
2734	1097.82688	1.448	Positive
2735	711.49455	3.21	Positive
2736	1362.96056	7.423	Positive
2737	576.57176	4.735	Positive
2738	828.64793	4.701	Positive
2739	1679.23652	6.297	Positive
2740	679.43935	2.698	Positive
2741	852.55972	3.893	Positive
2742	1052.72931	1.814	Positive
2743	832.68763	6.699	Positive
2744	990.74521	6.342	Positive
2745	419.35216	6.649	Positive
2746	1078.54351	2.912	Positive
2747	977.8576	7.643	Positive
2748	1054.97343	9.678	Positive
2749	1271.23396	7.45	Positive
2750	857.72715	6.919	Positive
2751	970.78363	7.626	Positive
2752	1037.92999	9.794	Positive
2753	1089.05203	10.256	Positive
2754	904.69198	2.259	Positive
2755	852.7805	9.076	Positive
2756	876.80157	8.18	Positive
2757	537.52449	9.588	Positive
2758	900.75023	7.082	Positive
2759	575.51498	6.649	Positive
2760	1066.97278	9.488	Positive
2761	852.58591	2.346	Positive
2762	649.64137	1.981	Positive
2763	1653.48839	8.803	Positive
2764	1109.00486	9.432	Positive
2765	344.31589	2.433	Positive
2766	894.84889	9.16	Positive
2767	1983.92126	9.709	Positive
2768	443.20642	1.245	Positive
2769	962.90283	9.407	Positive
2770	796.54142	1.653	Positive
2771	936.66172	5.127	Positive
2772	946.91616	10.057	Positive
2773	660.42948	2.206	Positive
2774	1112.03925	10.095	Positive
2775	818.66377	6.276	Positive
2776	732.64836	7.035	Positive
2777	546.41383	1.744	Positive
2778	899.7323	8.352	Positive
2779	1079.97603	9.624	Positive
2780	1603.24838	6.591	Positive
2781	472.4182	2.333	Positive
2782	1529.96616	6.949	Positive
2783	719.11363	0.71	Positive
2784	746.56236	2.074	Positive
2785	666.21559	2.696	Positive
2786	1289.18656	9.496	Positive
2787	502.28019	1.271	Positive
2788	820.77626	9.286	Positive
2789	1068.98929	9.764	Positive
2790	884.79909	9.18	Positive
2791	632.01195	2.331	Positive
2792	1030.6876	1.833	Positive
2793	602.5259	1.447	Positive
2794	748.46378	2.616	Positive
2795	898.49288	0.74	Positive
2796	936.93253	9.938	Positive
2797	745.62268	5.953	Positive
2798	783.79108	7.557	Positive
2799	330.33656	2.956	Positive
2800	460.23366	1.241	Positive
2801	916.83279	8.203	Positive
2802	416.37335	1.617	Positive
2803	358.36808	3.193	Positive
2804	854.46617	0.741	Positive
2805	1206.88136	3.494	Positive
2806	800.55901	5.239	Positive
2807	750.73386	8.028	Positive
2808	536.50402	3.539	Positive
2809	737.69395	1.973	Positive
2810	1037.99775	9.557	Positive
2811	1038.00449	9.544	Positive
2812	1256.90196	2.742	Positive
2813	678.47874	1.656	Positive
2814	556.5303	4.855	Positive
2815	780.51044	1.838	Positive
2816	794.68736	7.05	Positive
2817	945.90488	10.04	Positive
2818	1289.18651	9.496	Positive
2819	1051.87788	8.337	Positive
2820	912.87443	9.886	Positive
2821	356.33129	2.556	Positive
2822	942.51853	0.741	Positive
2823	834.59379	3.524	Positive
2824	800.51104	6.953	Positive
2825	680.69189	8.028	Positive
2826	552.57192	5.524	Positive
2827	772.66656	6.729	Positive
2828	726.56681	2.039	Positive
2829	402.26978	0.794	Positive
2830	929.75615	8.51	Positive
2831	626.60797	6.144	Positive
2832	964.81159	8.1	Positive
2833	924.88648	9.394	Positive
2834	681.34322	2.174	Positive
2835	894.8483	9.664	Positive
2836	946.84338	8.788	Positive
2837	861.70569	5.569	Positive
2838	1300.9277	2.725	Positive
2839	918.812	8.352	Positive
2840	1537.13099	8.776	Positive
2841	716.65318	7.215	Positive
2842	678.63994	6.898	Positive
2843	794.56248	1.867	Positive
2844	715.51027	1.069	Positive
2845	844.60814	2.307	Positive
2846	768.62493	2.764	Positive
2847	816.50567	6.74	Positive
2848	953.83332	8.902	Positive
2849	412.41487	2.575	Positive
2850	713.76434	8.499	Positive
2851	506.49337	4.728	Positive
2852	554.55102	5.23	Positive
2853	712.5153	3.392	Positive
2854	989.76889	2.332	Positive
2855	543.2777	1.982	Positive
2856	1002.84817	8.757	Positive
2857	533.27978	2.448	Positive
2858	991.76581	1.33	Positive
2859	921.74434	8.1	Positive
2860	914.80229	7.825	Positive
2861	1032.82787	7.6	Positive
2862	714.58861	4.858	Positive
2863	1052.95727	9.493	Positive
2864	369.35161	4.862	Positive
2865	569.43446	1.674	Positive
2866	907.62655	1.982	Positive
2867	970.7184	6.141	Positive
2868	720.72299	8.483	Positive
2869	793.54472	4.454	Positive
2870	1026.84599	8.381	Positive
2871	1001.82563	7.49	Positive
2872	578.55111	4.524	Positive
2873	599.31228	2.134	Positive
2874	972.80144	8.451	Positive
2875	863.51367	1.553	Positive
2876	778.76508	9.508	Positive
2877	704.69194	7.564	Positive
2878	832.77613	9.259	Positive
2879	552.53554	4.513	Positive
2880	516.48085	3.227	Positive
2881	828.69267	6.608	Positive
2882	383.33094	7.861	Positive
2883	1679.50561	8.822	Positive
2884	1129.72532	7.053	Positive
2885	970.87995	9.602	Positive
2886	702.58839	4.728	Positive
2887	615.45567	2.76	Positive
2888	592.39042	0.779	Positive
2889	616.51539	3.366	Positive
2890	1048.82349	7.51	Positive
2891	1157.30503	6.612	Positive
2892	1797.34537	9.701	Positive
2893	836.80686	9.684	Positive
2894	602.5258	1.449	Positive
2895	1433.00679	2.676	Positive
2896	597.62978	4.699	Positive
2897	847.62354	2.045	Positive
2898	462.41545	1.855	Positive
2899	1038.94203	9.432	Positive
2900	1215.01024	7.959	Positive
2901	654.64015	6.743	Positive
2902	1032.89514	8.296	Positive
2903	1660.5326	8.771	Positive
2904	772.59434	2.187	Positive
2905	749.61814	4.842	Positive
2906	832.4536	0.742	Positive
2907	1257.02772	6.041	Positive
2908	1006.77711	7.068	Positive
2909	897.66643	2.476	Positive
2910	708.39596	2.305	Positive
2911	1004.86399	8.164	Positive
2912	765.78138	7.579	Positive
2913	1036.92587	9.67	Positive
2914	411.21978	1.966	Positive
2915	512.30075	1.465	Positive
2916	560.30383	1.981	Positive
2917	810.44065	0.74	Positive
2918	358.36795	3.614	Positive
2919	848.49772	3.551	Positive
2920	1115.06764	10.285	Positive
2921	664.56686	4.299	Positive
2922	876.47937	0.741	Positive
2923	592.32702	1.787	Positive
2924	922.84337	8.197	Positive
2925	918.68734	5.96	Positive
2926	917.8729	9.859	Positive
2927	876.64085	4.57	Positive
2928	1006.97405	10.489	Positive
2929	705.61418	3.518	Positive
2930	1374.72245	2.171	Positive
2931	747.67404	2.047	Positive
2932	326.30542	1.4	Positive
2933	1126.74673	6.839	Positive
2934	662.6089	4.176	Positive
2935	824.69772	6.78	Positive
2936	716.4885	2.985	Positive
2937	1018.87979	8.304	Positive
2938	636.5565	6.194	Positive
2939	532.31374	0.759	Positive
2940	518.46006	2.55	Positive
2941	640.83479	2.41	Positive
2942	878.79612	9.019	Positive
2943	662.57234	6.618	Positive
2944	1000.89005	9.261	Positive
2945	520.50924	4.173	Positive
2946	486.43401	3.194	Positive
2947	662.55774	3.403	Positive
2948	878.62009	3.975	Positive
2949	810.75513	8.115	Positive
2950	920.50562	0.741	Positive
2951	688.45763	2.78	Positive
2952	868.81228	9.396	Positive
2953	776.61715	5.142	Positive
2954	500.72342	2.15	Positive
2955	386.36302	2.871	Positive
2956	869.70029	8.771	Positive
2957	630.61895	6.591	Positive
2958	592.3906	0.777	Positive
2959	664.51051	2.552	Positive
2960	529.46199	6.883	Positive
2961	751.70522	2.251	Positive
2962	850.78587	8.006	Positive
2963	720.75873	0.741	Positive
2964	432.40477	2.006	Positive
2965	906.88501	9.775	Positive
2966	408.38344	2.276	Positive
2967	1095.90286	8.455	Positive
2968	706.7079	7.813	Positive
2969	1044.98945	10.376	Positive
2970	887.89019	7.918	Positive
2971	300.28976	1.659	Positive
2972	712.68187	7.13	Positive
2973	668.65588	7.362	Positive
2974	1168.84953	2.778	Positive
2975	1344.95407	2.709	Positive
2976	636.59304	6.719	Positive
2977	990.8485	7.97	Positive
2978	990.84869	7.97	Positive
2979	634.3739	1.788	Positive
2980	1199.77262	4.179	Positive
2981	634.61361	6.738	Positive
2982	488.43115	1.941	Positive
2983	488.2644	1.248	Positive
2984	719.60658	5.273	Positive
2985	488.30077	1.474	Positive
2986	1158.85698	3.48	Positive
2987	761.6535	6.81	Positive
2988	490.44688	2.194	Positive
2989	358.36806	2.137	Positive
2990	909.35495	1.124	Positive
2991	542.77912	2.428	Positive
2992	662.05709	0.74	Positive
2993	758.4356	1.539	Positive
2994	914.81728	8.096	Positive
2995	1002.58057	1.866	Positive
2996	936.66193	5.081	Positive
2997	1495.03685	7.762	Positive
2998	1111.03679	9.954	Positive
2999	330.33677	2.693	Positive
3000	848.53897	4.85	Positive
3001	416.37351	2.544	Positive
3002	1177.03046	9.045	Positive
3003	748.58452	4.245	Positive
3004	948.93236	10.299	Positive
3005	808.77605	9.515	Positive
3006	771.51501	4.626	Positive
3007	755.70441	1.884	Positive
3008	990.84853	8.163	Positive
3009	630.38244	1.983	Positive
3010	582.54605	4.847	Positive
3011	1158.67231	3.184	Positive
3012	412.32093	1.474	Positive
3013	710.70268	7.841	Positive
3014	729.77321	7.326	Positive
3015	964.83288	7.843	Positive
3016	1063.0361	10.269	Positive
3017	790.58842	1.63	Positive
3018	752.74961	8.528	Positive
3019	644.39778	1.921	Positive
3020	528.42623	1.942	Positive
3021	438.35545	2.695	Positive
3022	1138.81853	6.938	Positive
3023	597.62977	4.696	Positive
3024	411.18034	2.134	Positive
3025	1076.67371	6.171	Positive
3026	780.72632	8.271	Positive
3027	1158.98387	8.282	Positive
3028	736.72981	7.769	Positive
3029	792.60586	6.875	Positive
3030	1000.57145	0.731	Positive
3031	527.40562	0.918	Positive
3032	495.37935	0.967	Positive
3033	1124.82326	2.797	Positive
3034	1064.95731	9.823	Positive
3035	942.92163	10.199	Positive
3036	696.68705	7.271	Positive
3037	722.71406	7.77	Positive
3038	706.08293	0.744	Positive
3039	996.79902	7.688	Positive
3040	788.42732	0.742	Positive
3041	1182.80921	6.988	Positive
3042	1031.01047	10.09	Positive
3043	1140.81188	2.633	Positive
3044	812.69757	6.819	Positive
3045	632.59803	5.769	Positive
3046	716.55906	6.02	Positive
3047	798.68245	7.833	Positive
3048	876.65608	2.907	Positive
3049	986.69269	4.08	Positive
3050	312.36258	2.294	Positive
3051	284.29483	1.702	Positive
3052	332.33117	1.688	Positive
3053	707.5699	3.523	Positive
3054	1023.83203	4.837	Positive
3055	1065.70429	3.994	Positive
3056	814.63214	4.7	Positive
3057	1052.95735	9.483	Positive
3058	1284.32875	6.863	Positive
3059	933.78817	9.309	Positive
3060	232.20597	1.603	Positive
3061	631.85848	0.744	Positive
3062	1411.91148	3.284	Positive
3063	824.5369	1.828	Positive
3064	708.69831	7.402	Positive
3065	880.81041	8.765	Positive
3066	1067.64381	6.467	Positive
3067	933.7884	9.319	Positive
3068	518.35363	0.793	Positive
3069	660.5419	3.13	Positive
3070	1004.86388	7.969	Positive
3071	903.81785	8.77	Positive
3072	869.75724	9.376	Positive
3073	763.14024	0.709	Positive
3074	1491.43747	9.237	Positive
3075	410.39925	2.383	Positive
3076	1242.08065	6.971	Positive
3077	822.71888	7.351	Positive
3078	1713.58236	9.48	Positive
3079	409.20414	1.95	Positive
3080	852.80159	8.39	Positive
3081	412.41493	2.637	Positive
3082	1477.45812	8.419	Positive
3083	936.78072	8.102	Positive
3084	1210.84094	7.263	Positive
3085	1004.72171	2.208	Positive
3086	779.79693	7.942	Positive
3087	1231.01223	5.963	Positive
3088	693.53108	2.591	Positive
3089	932.84437	9.542	Positive
3090	544.32697	1.27	Positive
3091	788.5441	3.623	Positive
3092	516.33222	2.044	Positive
3093	922.91674	10.34	Positive
3094	662.60874	4.268	Positive
3095	854.66944	6.689	Positive
3096	1195.80509	7.263	Positive
3097	1000.76609	6.957	Positive
3098	753.44631	1.503	Positive
3099	916.86962	9.88	Positive
3100	297.13326	1.121	Positive
3101	412.41495	2.654	Positive
3102	619.52754	6.967	Positive
3103	1360.70699	2.171	Positive
3104	1105.08312	10.6	Positive
3105	786.42105	2.102	Positive
3106	958.91572	9.618	Positive
3107	688.62418	5.745	Positive
3108	1026.9429	9.959	Positive
3109	369.35161	4.862	Positive
3110	1463.15229	4.821	Positive
3111	998.83824	7.107	Positive
3112	732.59085	6.721	Positive
3113	623.64566	4.892	Positive
3114	810.7734	9.35	Positive
3115	402.39417	2.79	Positive
3116	742.57589	4.866	Positive
3117	828.74491	8.006	Positive
3118	944.90112	9.926	Positive
3119	1052.94281	8.791	Positive
3120	557.40453	1.747	Positive
3121	887.61564	6.953	Positive
3122	1231.07833	9.318	Positive
3123	578.58751	5.6	Positive
3124	688.62194	6.894	Positive
3125	930.81233	7.161	Positive
3126	617.51166	6.649	Positive
3127	1071.00522	10.321	Positive
3128	825.78409	5.828	Positive
3129	956.54535	0.729	Positive
3130	752.69229	8.293	Positive
3131	848.77064	9.081	Positive
3132	772.59387	2.144	Positive
3133	747.67408	1.991	Positive
3134	720.68704	7.326	Positive
3135	812.44567	1.095	Positive
3136	978.8483	7.846	Positive
3137	694.68265	7.398	Positive
3138	740.54691	4.038	Positive
3139	1238.82491	2.484	Positive
3140	1016.95796	9.748	Positive
3141	871.76354	9.696	Positive
3142	806.58496	3.286	Positive
3143	332.33117	1.691	Positive
3144	830.76082	8.887	Positive
3145	490.42854	2.275	Positive
3146	560.4526	2.706	Positive
3147	802.76525	9.286	Positive
3148	806.76018	9.285	Positive
3149	895.77283	9.359	Positive
3150	721.48638	3.191	Positive
3151	1679.23587	6.156	Positive
3152	866.85416	9.553	Positive
3153	790.55962	2.69	Positive
3154	1032.98931	10.457	Positive
3155	509.21681	0.761	Positive
3156	923.88385	9.908	Positive
3157	862.43565	1.1	Positive
3158	871.49129	6.303	Positive
3159	789.56512	1.573	Positive
3160	490.32219	0.777	Positive
3161	766.41433	0.741	Positive
3162	1114.08275	9.408	Positive
3163	1004.70288	2.309	Positive
3164	916.86954	9.737	Positive
3165	562.46828	2.613	Positive
3166	751.08225	2.014	Positive
3167	1309.87145	6.806	Positive
3168	934.53239	0.732	Positive
3169	704.43834	0.712	Positive
3170	744.55461	5.677	Positive
3171	1558.4467	2.182	Positive
3172	438.36908	1.447	Positive
3173	998.91121	9.691	Positive
3174	369.35163	7.266	Positive
3175	634.41929	0.919	Positive
3176	1008.64468	2.771	Positive
3177	1019.97723	9.894	Positive
3178	846.65098	2.211	Positive
3179	964.77294	7.205	Positive
3180	856.77642	9.185	Positive
3181	692.69211	7.863	Positive
3182	1285.05886	6.786	Positive
3183	624.66543	6.855	Positive
3184	1175.01413	8.597	Positive
3185	370.26196	0.961	Positive
3186	960.74805	2.591	Positive
3187	1061.02033	10.285	Positive
3188	870.66327	1.934	Positive
3189	910.78574	8.449	Positive
3190	410.39924	2.396	Positive
3191	1175.81344	6.463	Positive
3192	1647.99147	6.659	Positive
3193	1160.76726	6.171	Positive
3194	908.80675	8.947	Positive
3195	574.48613	2.447	Positive
3196	1024.83085	8.058	Positive
3197	938.81717	7.819	Positive
3198	710.60853	4.569	Positive
3199	1634.51824	8.784	Positive
3200	659.40601	2.78	Positive
3201	680.61909	5.612	Positive
3202	770.59273	2.037	Positive
3203	862.43573	1.103	Positive
3204	646.61149	7.169	Positive
3205	994.71631	6.676	Positive
3206	618.03066	0.742	Positive
3207	621.62959	4.273	Positive
3208	590.35091	2.097	Positive
3209	530.34787	1.486	Positive
3210	830.76064	8.889	Positive
3211	924.8016	8.078	Positive
3212	722.71386	6.589	Positive
3213	757.6223	5.575	Positive
3214	946.78563	7.984	Positive
3215	972.80178	8.308	Positive
3216	1160.76766	6.303	Positive
3217	1403.14066	4.434	Positive
3218	1388.9799	2.693	Positive
3219	629.55088	4.858	Positive
3220	856.77654	9.184	Positive
3221	625.66073	5.609	Positive
3222	664.69717	8.15	Positive
3223	747.60282	4.898	Positive
3224	752.61924	6.859	Positive
3225	906.8121	7.467	Positive
3226	1030.97413	10.229	Positive
3227	652.62451	7.062	Positive
3228	1230.01202	2.024	Positive
3229	1318.65963	2.172	Positive
3230	591.30673	1.881	Positive
3231	836.77069	7.991	Positive
3232	860.45683	1.22	Positive
3233	908.80698	9.375	Positive
3234	457.22242	1.281	Positive
3235	618.53079	3.95	Positive
3236	1038.94188	9.301	Positive
3237	905.90117	8.011	Positive
3238	602.52608	2.192	Positive
3239	823.76859	5.094	Positive
3240	896.61199	2.324	Positive
3241	931.77279	8.856	Positive
3242	896.7919	7.725	Positive
3243	1377.38209	7.509	Positive
3244	430.38917	2.608	Positive
3245	1024.96307	9.238	Positive
3246	1166.81315	6.916	Positive
3247	1029.85728	7.796	Positive
3248	646.41048	2.135	Positive
3249	768.57781	5.8	Positive
3250	729.4607	4.338	Positive
3251	1286.641	1.121	Positive
3252	889.90629	8.359	Positive
3253	1055.89961	9.447	Positive
3254	745.53926	1.61	Positive
3255	841.52904	5.627	Positive
3256	382.7853	0.908	Positive
3257	634.45269	1.538	Positive
3258	575.31176	2.271	Positive
3259	950.94827	10.022	Positive
3260	697.93576	0.702	Positive
3261	575.50382	4.657	Positive
3262	692.65561	7.15	Positive
3263	1073.02036	10.505	Positive
3264	1064.95736	9.349	Positive
3265	1036.77103	2.84	Positive
3266	990.66643	3.178	Positive
3267	718.53866	5.437	Positive
3268	923.74638	9.169	Positive
3269	1048.8302	7.948	Positive
3270	553.25612	2.263	Positive
3271	500.37946	1.042	Positive
3272	996.8589	8.436	Positive
3273	1242.08083	6.969	Positive
3274	988.76626	7.057	Positive
3275	457.22237	1.279	Positive
3276	1034.91089	8.649	Positive
3277	718.58309	4.524	Positive
3278	912.83806	9.629	Positive
3279	1002.90527	9.454	Positive
3280	1148.64456	2.141	Positive
3281	952.83285	7.793	Positive
3282	1073.8547	6.589	Positive
3283	823.00293	4.856	Positive
3284	970.87995	9.538	Positive
3285	774.7341	8.398	Positive
3286	625.62455	5.171	Positive
3287	874.66847	6.808	Positive
3288	1237.81272	2.485	Positive
3289	1082.91692	7.806	Positive
3290	840.56735	1.649	Positive
3291	726.53148	3.805	Positive
3292	446.40234	2.255	Positive
3293	1439.26165	9.711	Positive
3294	844.77619	9.109	Positive
3295	442.33733	0.945	Positive
3296	544.45088	2.688	Positive
3297	772.71847	8.033	Positive
3298	590.55111	4.654	Positive
3299	1493.45332	7.914	Positive
3300	846.7915	9.381	Positive
3301	952.86893	9.189	Positive
3302	695.64256	1.905	Positive
3303	901.6312	6.953	Positive
3304	894.70051	6.839	Positive
3305	957.84473	7.314	Positive
3306	509.97814	0.728	Positive
3307	572.45222	1.935	Positive
3308	1157.01931	9.426	Positive
3309	1012.70891	4.151	Positive
3310	920.90114	9.737	Positive
3311	744.55417	5.473	Positive
3312	1380.17447	6.027	Positive
3313	1084.93264	8.251	Positive
3314	1022.58448	0.733	Positive
3315	1052.67463	6.588	Positive
3316	595.61407	4.006	Positive
3317	976.96394	9.91	Positive
3318	768.57785	5.801	Positive
3319	878.7048	6.926	Positive
3320	900.78693	7.639	Positive
3321	856.80385	9.295	Positive
3322	639.64033	3.177	Positive
3323	903.88551	7.644	Positive
3324	579.53481	9.281	Positive
3325	626.15983	2.684	Positive
3326	416.3735	2.489	Positive
3327	838.65557	5.801	Positive
3328	1712.56366	8.784	Positive
3329	293.21117	7.266	Positive
3330	1186.2133	7.388	Positive
3331	1042.77082	2.646	Positive
3332	949.89828	9.318	Positive
3333	955.8046	2.429	Positive
3334	722.55223	2.635	Positive
3335	942.88488	9.304	Positive
3336	926.68769	2.509	Positive
3337	612.5352	3.905	Positive
3338	1991.03387	9.462	Positive
3339	702.57968	4.43	Positive
3340	710.64818	7.145	Positive
3341	652.66051	7.149	Positive
3342	668.59816	5.504	Positive
3343	735.73461	7.122	Positive
3344	1075.0358	10.797	Positive
3345	520.29056	1.03	Positive
3346	1124.03998	9.927	Positive
3347	1026.94194	9.862	Positive
3348	1026.94284	10.022	Positive
3349	591.4963	6.643	Positive
3350	820.77673	9.218	Positive
3351	788.5441	3.62	Positive
3352	756.63517	6.697	Positive
3353	960.69495	2.22	Positive
3354	701.40193	3.801	Positive
3355	676.59889	2.686	Positive
3356	688.62418	5.217	Positive
3357	1383.38007	7.582	Positive
3358	938.90221	9.57	Positive
3359	1718.41277	6.843	Positive
3360	1013.6001	2.77	Positive
3361	298.34689	1.608	Positive
3362	682.89107	6.816	Positive
3363	1044.59683	0.731	Positive
3364	974.94805	9.734	Positive
3365	360.7722	0.915	Positive
3366	782.75991	9.411	Positive
3367	754.7074	2.393	Positive
3368	1212.26548	7.01	Positive
3369	1020.79898	7.606	Positive
3370	1016.9951	10.094	Positive
3371	1335.85031	5.595	Positive
3372	720.72334	8.366	Positive
3373	972.80156	8.105	Positive
3374	735.77095	7.312	Positive
3375	744.40151	0.742	Positive
3376	878.28257	3.314	Positive
3377	747.53445	2.662	Positive
3378	1008.89537	9.58	Positive
3379	819.74956	2.465	Positive
3380	882.75472	7.957	Positive
3381	601.5195	8.816	Positive
3382	448.23315	1.156	Positive
3383	782.74221	8.868	Positive
3384	881.46222	1.218	Positive
3385	692.65557	6.769	Positive
3386	895.60811	1.96	Positive
3387	356.32719	0.924	Positive
3388	660.42624	2.979	Positive
3389	982.84366	7.268	Positive
3390	768.57728	4.854	Positive
3391	1050.94198	9.338	Positive
3392	662.36889	1.88	Positive
3393	1084.00896	9.914	Positive
3394	876.55969	3.803	Positive
3395	989.92067	9.169	Positive
3396	836.51625	0.703	Positive
3397	1125.05166	10.107	Positive
3398	589.5308	6.649	Positive
3399	1493.94242	7.51	Positive
3400	415.38957	1.852	Positive
3401	530.34783	1.465	Positive
3402	774.67934	7.343	Positive
3403	272.25842	1.222	Positive
3404	604.36635	2.212	Positive
3405	912.63423	2.124	Positive
3406	722.68164	2.107	Positive
3407	816.78074	9.375	Positive
3408	826.67716	6.615	Positive
3409	793.8127	8.145	Positive
3410	590.46336	2.639	Positive
3411	1121.04171	9.915	Positive
3412	652.62423	6.22	Positive
3413	761.39337	3.55	Positive
3414	1034.91063	9.618	Positive
3415	540.91516	1.237	Positive
3416	971.9202	10.039	Positive
3417	750.60175	4.857	Positive
3418	1210.13751	6.036	Positive
3419	791.56222	0.91	Positive
3420	970.91603	9.543	Positive
3421	970.91615	9.371	Positive
3422	1172.33963	4.862	Positive
